TAG,COUNTY_ID,COUNTY,TOWN_ID,TOWN,FLD01,FLD02,FLD03,FLD04,FLD05,FLD06,FLD07,FLD08,INFO_TIME
標籤,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,資料時間
,65000,新北市,65000050,新莊區,127294,87304675,686,427,207,849,869.81,126.82,"109Y"
,65000,新北市,65000170,林口區,37883,37794601,998,574,257,1249,1456.3,145.97,"109Y"
,65000,新北市,65000150,五股區,25578,15747973,616,388,190,729,4336.81,704.39,"109Y"
,65000,新北市,65000140,蘆洲區,57354,36973658,645,406,200,794,827.16,128.31,"109Y"
,65000,新北市,65000020,三重區,111041,73044346,658,405,199,802,938.48,142.67,"109Y"
,65000,新北市,65000160,泰山區,23243,15631158,673,436,207,873,794.27,118.1,"109Y"
,65000,新北市,65000060,新店區,97906,84592747,864,480,220,1019,1630.35,188.69,"109Y"
,65000,新北市,65000190,石碇區,1680,886179,527,349,176,627,693.49,131.47,"109Y"
,65000,新北市,65000180,深坑區,6989,4634901,663,413,202,817,977.86,147.45,"109Y"
,65000,新北市,65000200,坪林區,1444,773276,536,370,176,647,725.54,135.49,"109Y"
,65000,新北市,65000290,烏來區,1367,779231,570,412,205,749,576.87,101.2,"109Y"
,65000,新北市,65000010,板橋區,165110,127039222,769,465,222,949,1090.27,141.7,"109Y"
,65000,新北市,65000090,三峽區,30912,20961162,678,423,200,845,936.38,138.09,"109Y"
,65000,新北市,65000080,鶯歌區,24584,13853171,564,380,193,701,665.43,118.09,"109Y"
,65000,新北市,65000070,樹林區,53110,34387675,647,403,198,791,839.14,129.6,"109Y"
,65000,新北市,65000030,中和區,126099,93531345,742,459,217,928,1013.8,136.68,"109Y"
,65000,新北市,65000130,土城區,69173,43422335,628,407,202,786,788.13,125.55,"109Y"
,65000,新北市,65000120,瑞芳區,9559,4683922,490,345,175,614,563.27,114.95,"109Y"
,65000,新北市,65000240,平溪區,868,429649,495,330,171,597,595.15,120.24,"109Y"
,65000,新北市,65000250,雙溪區,1832,980455,535,358,175,673,932.46,174.23,"109Y"
,65000,新北市,65000260,貢寮區,2347,1150350,490,336,179,609,584.24,119.2,"109Y"
,65000,新北市,65000270,金山區,4939,2487596,504,335,163,617,732.86,145.51,"109Y"
,65000,新北市,65000280,萬里區,4607,2291153,497,337,175,601,630.37,126.75,"109Y"
,65000,新北市,65000100,淡水區,58384,43858098,751,459,204,943,1340.57,178.46,"109Y"
,65000,新北市,65000110,汐止區,68624,51242795,747,452,216,914,1033.74,138.44,"109Y"
,65000,新北市,65000210,三芝區,5668,2720473,480,317,153,584,620.9,129.36,"109Y"
,65000,新北市,65000220,石門區,2638,1290466,489,320,152,596,728.37,148.89,"109Y"
,65000,新北市,65000230,八里區,10786,6317433,586,374,186,723,782.99,133.68,"109Y"
,65000,新北市,65000040,永和區,69399,60206471,868,514,231,1077,1459.57,168.24,"109Y"
X,65000,新北市,65000999,其他,48,53228,1109,475,253,1239,2121.71,191.33,"109Y"
,63000,臺北市,63000010,松山區,69548,82563751,1187,628,264,1396,2544.06,214.3,"109Y"
,63000,臺北市,63000030,大安區,106080,147131585,1387,690,278,1591,3346.49,241.28,"109Y"
,63000,臺北市,63000050,中正區,52028,63439300,1219,653,269,1454,2451.08,201.02,"109Y"
,63000,臺北市,63000070,萬華區,53931,39575795,734,439,203,898,1083.23,147.62,"109Y"
,63000,臺北市,63000060,大同區,40388,34845506,863,483,218,1025,1582.01,183.36,"109Y"
,63000,臺北市,63000040,中山區,79546,87690377,1102,560,238,1235,2616.59,237.36,"109Y"
,63000,臺北市,63000080,文山區,88753,89827756,1012,573,248,1243,1677.29,165.72,"109Y"
,63000,臺北市,63000090,南港區,39454,37513731,951,516,236,1112,1736.12,182.59,"109Y"
,63000,臺北市,63000100,內湖區,97466,106078118,1088,589,261,1289,1965.76,180.62,"109Y"
,63000,臺北市,63000110,士林區,90786,91313059,1006,522,232,1140,2695.51,267.99,"109Y"
,63000,臺北市,63000120,北投區,80989,76984887,951,524,230,1129,1714.04,180.32,"109Y"
,63000,臺北市,63000020,信義區,73014,75049219,1028,543,243,1166,2444.78,237.85,"109Y"
X,63000,臺北市,63000999,其他,147,175124,1191,431,228,1312,2195.91,184.33,"109Y"
