編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLRJJIKGFCB67DA,春安段,5.62,都市：其他:排水道,774900,363212,持分移轉,05240001
RPPOMLRJJIKGFCB67DA,春安段,5.16,都市：其他:綠地綠帶,774900,363212,持分移轉,05240002
RPPOMLRJJIKGFCB67DA,春安段,6.56,都市：其他:排水道,774900,363212,持分移轉,05270000
RPRNMLOJJIKGFEB67DA,幼獅段,112.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05970004
RPSNMLKKJIKGFDB37DA,泰安段,3.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11500012
RPXNMLLKJIKGFFB18DA,梧棲段,69.00,都市：其他:第四種住宅區,1,1,全筆移轉,33290000
RPTPMLLKJIKGFCB67DA,上石碑段,3.55,都市：其他:第二種住宅區,10000,81,持分移轉,08240000
RPRNMLOJJIKGFAB27DA,下橋子頭段,.29,都市：其他:第二種住宅區,10000,291,持分移轉,00400004
RPRNMLOJJIKGFAB27DA,下橋子頭段,12.92,都市：其他:第二種住宅區,10000,291,持分移轉,00400010
SPWNMLNJKIKGFCB08DA,鑫港尾段,22.20,都市：其他:第一之一種住宅區,100000,6028,持分移轉,01720000
RPWNMLNJKIKGFCB97DA,鑫港尾段,14.97,都市：其他:第一之一種住宅區,100000,6028,持分移轉,01600000
RPSNMLRJJIKGFDB97DA,圳寮段,4.17,非都市：山坡地保育區 ; 非都市編定：農牧用地,120000,105,持分移轉,03850000
RPQNMLSJKIKGFIB58EA,成功嶺段,3.95,都市：其他:第一種住宅區,8,2,持分移轉,05260001
RPQPMLQJJIKGFCB77DA,西屯段,2.63,都市：其他:第二種住宅區,100000,203,持分移轉,20320041
RPRNMLLKJIKGFDB37DA,墩南段,4.48,都市：其他:住宅區,1,1,全筆移轉,05370001
RPSNMLLKJIKGFDB47DA,龍宮段,74.06,都市：其他:第一之二種住宅區,1,1,全筆移轉,03540000
RPRNMLRKJIKGFDB97DA,神圳段,7.66,都市：其他:第一之二種住宅區,1,1,全筆移轉,08310000
RPRNMLRKJIKGFDB97DA,神圳段,10.67,都市：其他:第一之二種住宅區,1,1,全筆移轉,08340000
RPPNMLSJJIKGFAB47DA,土庫段,3.57,都市：其他:第三種住宅區。,10000,89,持分移轉,00320008
RPUNMLKKJIKGFDB57DA,泰安段,3.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11500014
RPSSMLQJJIKGFFB58DA,銀聯段,200.00,都市：其他:九年制國校用地,1,1,全筆移轉,17450006
RPTNMLKKJIKGFDB47DA,泰安段,6.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11500013
RPQOMLQKJIKGFBB67DA,東峰段,14.04,都市：其他:第二種商業區,300000,1989,持分移轉,00510000
RPSOMLOKJIKGFBB67DA,文正段,25.42,都市：其他:第二種住宅區,25000,642,持分移轉,00870000
RPPQMLOJJIKGFFB87DA,民權段,7.68,都市：其他:第四種住宅區,10000,222,持分移轉,14320000
RPSPMLKKJIKGFFB77DA,市鎮南段,9.54,都市：其他:第四種商業區,10000,28,持分移轉,00150000
RPSNMLRKJIKGFGB38DA,崁子下段,34.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,2,持分移轉,00840000
RPPNMLSKJIKGFEB97DA,中山段,69.03,都市：其他:住宅區,1,1,全筆移轉,03110000
RPQNMLQKJIKGFIB28DA,霧峰段北溝小段,3148.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00013407
RPVNMLLKJIKGFKB48DA,龍崗段,9.81,都市：其他:第四種住宅區,365,5,持分移轉,13520000
RPUNMLNKJIKGFJB48DA,永豐段,96.85,都市：其他:住宅區,1,1,全筆移轉,04850000
RPRNMLTKJIKGFFB48EA,興安段,7.07,都市：其他:第三種商業區,840,315,持分移轉,00740000
RPRNMLTKJIKGFFB48EA,興安段,15.51,都市：其他:第三種商業區,840,315,持分移轉,00760000
RPTNMLKKJIKGFKB18DA,茄投段,101.00,都市：其他:第四種住宅區,1,1,全筆移轉,05020006
RPTNMLKKJIKGFKB18DA,茄投段,17.50,都市：其他:第四種住宅區,540,30,持分移轉,05020009
RPSNMLRJJIKGFJB58DA,愛平段,5.68,都市：其他:第一種住宅區,100000,537,持分移轉,04820000
RPPPMLKKJIKGFFB47DA,市鎮南段,9.54,都市：其他:第四種商業區,10000,28,持分移轉,00150000
RPWNMLNKJIKGFKB78DA,文昌段,596.00,都市：其他:農業區,1580,596,持分移轉,01180000
RPQNMLRJJIKGFDB77DA,向陽段,2.81,都市：其他:第三種商業區,1,1,全筆移轉,10090004
RPURMLOKJIKGFAB08DA,樹子腳段,169.00,都市：其他:第二種住宅區,1,1,全筆移轉,06760006
RPWOMLLKJIKGFFB18DA,民權段,7.68,都市：其他:第四種住宅區,10000,222,持分移轉,14320000
RPRNMLNKJIKGFBB37DA,水源段,56.00,都市：其他:第三種住宅區。,1,1,全筆移轉,02300484
RPPQMLLJJIKGFCB27DA,西屯段,3.58,都市：其他:第三之二種住宅區,1000000,1261,持分移轉,22950000
RPXOMLOJJIKGFCB18DA,國安段,26.03,都市：其他:第六種住宅區,100000,77,持分移轉,05990000
RPRNMLNKJIKGFBB37DA,水源段,1.47,都市：其他:第三種住宅區。,10000,333,持分移轉,02300500
RPRNMLNKJIKGFBB37DA,水源段,20.53,都市：其他:第二種住宅區,10000,126,持分移轉,02300505
RPRNMLNKJIKGFBB37DA,水源段,.32,都市：其他:第二種住宅區,10000,126,持分移轉,02300509
RPRNMLNKJIKGFBB37DA,水源段,2.15,都市：其他:第三種住宅區。,10000,126,持分移轉,02300632
RPPSMLRKJIKGFCB18DA,福德段,9.98,都市：其他:第二種住宅區,100000,342,持分移轉,02780000
RPUPMLKKJIKGFCB67DA,國安段,4.94,都市：其他:第一之一種住宅區,10000,33,持分移轉,01950000
RPRNMLRJJIKGFGB18DA,保民段,133.13,都市：其他:乙種工業區,4,2,持分移轉,06900000
RPSNMLNKJIKGFEB77DA,海尾段,456.02,非都市：特定農業區 ; 非都市編定：農牧用地,940,138,持分移轉,05760000
RPSNMLNKJIKGFEB77DA,海尾段,58.86,非都市：特定農業區 ; 非都市編定：農牧用地,44177,456,持分移轉,05960000
RPQSMLNKJIKGFFB18DA,福田段,4.13,都市：其他:綠地用地,175,4,持分移轉,12140000
RPOSMLNKJIKGFFB97DA,福田段,8.26,都市：其他:綠地用地,175,8,持分移轉,12140000
RPVNMLSKJIKGFDB48DA,民富段,15.54,都市：其他:住宅區,10000,575,持分移轉,07600000
RPVNMLSKJIKGFDB48DA,民富段,3.79,都市：其他:住宅區,10000,575,持分移轉,07600005
RPVNMLSKJIKGFDB48DA,民富段,3.76,都市：其他:住宅區,10000,575,持分移轉,07600006
RPXNMLPJJIKGFCB18DA,上石碑段,2.94,都市：其他:第三種商業區,9000,56,持分移轉,10390007
RPXNMLPJJIKGFCB18DA,上石碑段,.53,都市：其他:第三種商業區,9000,56,持分移轉,10390008
RPQNMLSKJIKGFEB08DA,松子脚段,1349.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,00020042
RPWOMLLKJIKGFAB67DA,建國段一小段,2.71,都市：其他:第二種商業區,10000,100,持分移轉,00030000
RPXQMLNKJIKGFCB38DA,上石碑段,29.70,都市：其他:第三之二種住宅區,10000,193,持分移轉,21280000
RPPQMLRJJIKGFCB87DA,國安段,11.88,都市：其他:第六種住宅區,10000,39,持分移轉,00120015
RPPNMLRKJIKGFKB58EA,遊園北段,21.46,都市：其他:保護區,70,5,持分移轉,03900000
SPQNMLKLJIKGFEB47DA,和平段,3.07,都市：其他:住宅區,14,1,持分移轉,09160000
SPQNMLKLJIKGFEB47DA,和平段,5.86,都市：其他:住宅區,42,1,持分移轉,09170019
RPUOMLOKJIKGFBB87DA,錦村段,23.54,都市：其他:第二種住宅區,10000,93,持分移轉,02130007
RPQNMLKLJIKGFEB37DA,和平段,42.33,都市：其他:住宅區,6,1,持分移轉,09170018
RPQNMLKLJIKGFEB37DA,和平段,3.67,都市：其他:住宅區,6,1,持分移轉,09180000
RPQNMLKLJIKGFEB37DA,和平段,3.50,都市：其他:住宅區,6,1,持分移轉,09210000
RPQNMLKLJIKGFEB37DA,和平段,3.50,都市：其他:住宅區,6,1,持分移轉,09220000
RPQNMLKLJIKGFEB37DA,平安段,16.50,都市：其他:住宅區,6,1,持分移轉,09970000
RPQNMLTKJIKGFFB38EA,鹿峰東段,198.52,都市：其他:第四種住宅區,100000,32336,持分移轉,03170000
RPPNMLSKJIKGFFB18EA,銀聯段,42.00,都市：其他:第四種住宅區,1,1,全筆移轉,16850003
RPPNMLSKJIKGFJB48DA,愛平段,5.68,都市：其他:第一種住宅區,100000,537,持分移轉,04820000
RPRNMLSKJIKGFEB18DA,奉仁段,3.96,非都市：特定農業區 ; 非都市編定：農牧用地,16,1,持分移轉,06300000
RPRNMLSKJIKGFEB18DA,奉仁段,13.20,非都市：特定農業區 ; 非都市編定：農牧用地,16,1,持分移轉,06310000
RPRNMLSKJIKGFEB18DA,奉仁段,15.41,非都市：特定農業區 ; 非都市編定：甲種建築用地,80,1,持分移轉,06570000
RPRNMLSKJIKGFEB18DA,奉仁段,7.15,非都市：特定農業區 ; 非都市編定：農牧用地,16,1,持分移轉,06590000
RPRNMLSKJIKGFEB18DA,奉仁段,120.95,非都市：特定農業區 ; 非都市編定：農牧用地,16,1,持分移轉,06600000
RPRNMLSKJIKGFEB18DA,奉仁段,14.82,非都市：特定農業區 ; 非都市編定：農牧用地,16,1,持分移轉,06650000
RPRNMLSKJIKGFEB18DA,奉仁段,43.55,非都市：特定農業區 ; 非都市編定：農牧用地,16,1,持分移轉,06660000
RPRNMLQKJIKGFEB97DA,海尾段,531.61,非都市：特定農業區 ; 非都市編定：農牧用地,241,78,持分移轉,05950000
RPSNMLRKJIKGFEB18DA,文化段,9.66,都市：其他:住宅區,7,1,持分移轉,08930000
RPRNMLQKJIKGFEB97DA,海尾段,67.76,非都市：特定農業區 ; 非都市編定：農牧用地,44177,525,持分移轉,05960000
