編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSOMLOJJIKGFCB67DA,坡道平面,2200000,26.92,地下二樓
RPRNMLOJJIKGFAB27DA,升降平面,0,,地下二樓
RPPSMLRKJIKGFCB18DA,坡道機械,0,10.17,地下三樓
RPPQMLRJJIKGFCB87DA,坡道平面,0,39.74,地下二樓
RPWRMLNKJIKGFFB68DA,坡道機械,0,9.35,地下一樓
RPVNMLSKJIKGFAB18DA,坡道平面,1750000,12.21,地下一樓
RPRRMLOKJIKGFAB77DA,坡道機械,0,,地下二樓
RPWNMLRJJIKGFDB38DA,升降機械,0,,地下一樓
RPUNMLLKJIKGFCB57DA,坡道機械,0,20.90,地下五樓含以下
RPRNMLKKJIKGFDB27DA,坡道平面,0,23.77,地下二樓
RPRNMLKKJIKGFDB27DA,坡道平面,0,23.77,地下二樓
RPOTMLKLJIKGFBB47DA,坡道平面,2200000,30.42,地下二樓
RPOTMLKLJIKGFBB47DA,坡道平面,2200000,30.42,地下二樓
RPWNMLOLJIKGFCB18DA,坡道平面,0,35.91,地下三樓
RPROMLLKJIKGFCB37DA,坡道平面,2000000,27.80,地下二樓
RPROMLLKJIKGFCB37DA,坡道平面,2000000,27.80,地下二樓
RPROMLLKJIKGFCB37DA,坡道平面,2000000,27.80,地下二樓
RPSOMLLKJIKGFCB47DA,坡道平面,0,31.62,地下五樓含以下
RPUOMLKLJIKGFCB67DA,坡道機械,0,11.49,地下五樓含以下
RPSOMLOLJIKGFIB48DA,坡道機械,0,,地下一樓
RPVOMLLLJIKGFCB87DA,坡道平面,0,22.28,地下三樓
RPPNMLPLJIKGFBB57EA,坡道平面,1300000,41.04,地下一樓
RPVNMLRKJIKGFAB08DA,坡道平面,0,26.64,地下一樓
RPPPMLLLJIKGFBB27DA,坡道平面,0,28.74,地下三樓
RPRNMLQLJIKGFGB28DA,坡道平面,1200000,32.23,地下一樓
RPTNMLSKJIKGFFB48DA,坡道平面,0,24.74,地下二樓
RPTNMLRKJIKGFIB68DA,坡道平面,0,27.67,地下一樓
RPTNMLRKJIKGFIB68DA,坡道平面,0,27.67,地下一樓
RPXNMLQJJIKGFKB09DA,坡道機械,0,11.55,地下一樓
RPXNMLTKJIKGFDB78DA,坡道機械,0,21.65,地下二樓
RPTNMLTKJIKGFHB78DA,坡道機械,0,6.16,地下一樓
RPTNMLKLJIKGFFB77DA,坡道平面,0,26.13,地下四樓
RPXNMLOKJIKGFIB78DA,坡道機械,2000000,16.19,地下三樓
RPPNMLSLJIKGFHB38DA,坡道機械,0,,地下一樓
RPOOMLRKJIKGFFB97DA,坡道平面,0,24.74,地下二樓
RPVPMLQJJIKGFCB28DA,坡道平面,1200000,33.72,地下四樓
